"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2017","2.128,8","2.157,9","2.157,9","2.126,3","","-1,29%"
"28.12.2017","2.156,7","2.161,6","2.165,7","2.152,8","","-0,29%"
"27.12.2017","2.163,0","2.168,9","2.173,8","2.154,7","","-0,07%"
"22.12.2017","2.164,5","2.160,8","2.168,4","2.155,7","","-0,18%"
"21.12.2017","2.168,4","2.155,7","2.169,4","2.143,9","","0,64%"
"20.12.2017","2.154,7","2.176,0","2.179,2","2.152,8","","-0,88%"
"19.12.2017","2.173,8","2.182,1","2.188,9","2.168,9","","-0,36%"
"18.12.2017","2.181,6","2.168,4","2.184,6","2.165,4","","1,25%"
"15.12.2017","2.154,7","2.151,8","2.165,0","2.142,9","","-0,49%"
"14.12.2017","2.165,4","2.181,1","2.192,8","2.165,0","","-0,95%"
"13.12.2017","2.186,2","2.212,9","2.218,5","2.185,3","","-1,30%"
"12.12.2017","2.215,1","2.216,8","2.219,8","2.205,1","","0,09%"
"11.12.2017","2.213,2","2.222,7","2.226,1","2.211,9","","-0,67%"
"08.12.2017","2.228,1","2.207,8","2.229,8","2.207,5","","1,45%"
"07.12.2017","2.196,3","2.186,0","2.196,8","2.183,1","","0,52%"
"06.12.2017","2.185,0","2.175,7","2.188,4","2.171,8","","-0,30%"
"05.12.2017","2.191,6","2.190,9","2.198,7","2.176,7","","0,26%"
"04.12.2017","2.186,0","2.185,5","2.193,3","2.178,2","","1,04%"
"01.12.2017","2.163,5","2.190,4","2.191,4","2.157,7","","-1,18%"
"30.11.2017","2.189,4","2.186,2","2.206,6","2.183,1","","0,33%"
"29.11.2017","2.182,1","2.191,4","2.201,4","2.178,2","","0,07%"
"28.11.2017","2.180,6","2.174,8","2.181,1","2.170,3","","0,47%"
"27.11.2017","2.170,3","2.189,7","2.200,7","2.168,9","","-0,99%"
"24.11.2017","2.191,9","2.189,7","2.209,5","2.186,0","","0,09%"
"23.11.2017","2.189,9","2.173,5","2.191,4","2.170,3","","0,38%"
"22.11.2017","2.181,6","2.185,0","2.199,2","2.180,6","","-0,09%"
"21.11.2017","2.183,6","2.168,9","2.193,3","2.163,5","","0,65%"
"20.11.2017","2.169,4","2.149,3","2.172,3","2.146,4","","0,72%"
"17.11.2017","2.153,9","2.166,2","2.173,8","2.147,8","","-0,53%"
"16.11.2017","2.165,4","2.171,8","2.174,2","2.154,7","","0,06%"
"15.11.2017","2.164,0","2.164,7","2.168,9","2.140,0","","-0,58%"
"14.11.2017","2.176,7","2.192,3","2.202,6","2.169,8","","-0,63%"
"13.11.2017","2.190,4","2.203,6","2.205,3","2.173,3","","-0,49%"
"10.11.2017","2.201,2","2.209,5","2.214,8","2.200,2","","-0,48%"
"09.11.2017","2.211,9","2.234,9","2.242,2","2.206,3","","-0,83%"
"08.11.2017","2.230,5","2.246,2","2.246,2","2.216,3","","-0,52%"
"07.11.2017","2.242,2","2.253,8","2.259,3","2.241,8","","-0,20%"
"06.11.2017","2.246,7","2.244,9","2.250,1","2.234,9","","0,00%"
"03.11.2017","2.246,7","2.254,7","2.255,7","2.241,3","","-0,17%"
"02.11.2017","2.250,6","2.248,1","2.258,4","2.239,8","","0,24%"
"01.11.2017","2.245,2","2.236,9","2.252,0","2.235,4","","0,79%"
"31.10.2017","2.227,6","2.224,2","2.230,0","2.217,8","","0,33%"
"30.10.2017","2.220,2","2.213,4","2.226,1","2.213,2","","0,33%"
"27.10.2017","2.212,9","2.232,7","2.236,9","2.206,1","","-0,51%"
