"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"29.12.2017","0,708","0,687","0,713","0,677","7,11%"
"28.12.2017","0,661","0,609","0,664","0,609","9,44%"
"27.12.2017","0,604","0,585","0,614","0,580","3,99%"
"26.12.2017","0,581","0,581","0,581","0,581","-0,21%"
"22.12.2017","0,582","0,608","0,610","0,578","-1,19%"
"21.12.2017","0,589","0,620","0,625","0,586","-4,38%"
"20.12.2017","0,616","0,582","0,634","0,559","5,30%"
"19.12.2017","0,585","0,506","0,596","0,495","16,30%"
"18.12.2017","0,503","0,523","0,524","0,494","-3,82%"
"17.12.2017","0,523","0,527","0,527","0,523","-1,26%"
"16.12.2017","0,530","0,530","0,530","0,530","0,13%"
"15.12.2017","0,529","0,513","0,533","0,497","2,92%"
"14.12.2017","0,514","0,508","0,530","0,505","0,19%"
"13.12.2017","0,513","0,445","0,529","0,442","15,02%"
"12.12.2017","0,446","0,396","0,452","0,392","11,50%"
"11.12.2017","0,400","0,390","0,401","0,384","3,92%"
"10.12.2017","0,385","0,386","0,386","0,385","-0,80%"
"08.12.2017","0,388","0,419","0,422","0,379","-7,18%"
"07.12.2017","0,418","0,436","0,443","0,416","-5,86%"
"06.12.2017","0,444","0,440","0,446","0,424","-1,33%"
"05.12.2017","0,450","0,454","0,457","0,444","-3,43%"
"04.12.2017","0,466","0,468","0,486","0,460","4,77%"
"03.12.2017","0,445","0,445","0,445","0,445","-1,81%"
"01.12.2017","0,453","0,476","0,477","0,447","-5,62%"
"30.11.2017","0,480","0,515","0,517","0,480","-6,98%"
"29.11.2017","0,516","0,508","0,518","0,491","1,57%"
"28.11.2017","0,508","0,514","0,516","0,497","-2,12%"
"27.11.2017","0,519","0,521","0,533","0,500","-5,33%"
"26.11.2017","0,548","0,548","0,548","0,548","-1,23%"
"24.11.2017","0,555","0,536","0,557","0,535","3,93%"
"23.11.2017","0,534","0,520","0,541","0,517","1,71%"
"22.11.2017","0,525","0,522","0,553","0,522","-0,57%"
"21.11.2017","0,528","0,524","0,535","0,508","-5,21%"
"20.11.2017","0,557","0,561","0,566","0,546","0,25%"
"19.11.2017","0,556","0,556","0,556","0,556","-1,14%"
"17.11.2017","0,562","0,587","0,595","0,552","-4,58%"
"16.11.2017","0,589","0,582","0,600","0,579","2,79%"
"15.11.2017","0,573","0,570","0,583","0,555","-0,35%"
"14.11.2017","0,575","0,586","0,586","0,560","-1,03%"
"13.11.2017","0,581","0,581","0,583","0,556","-0,41%"
"12.11.2017","0,583","0,583","0,583","0,583","-1,62%"
"10.11.2017","0,593","0,608","0,608","0,550","1,37%"
"09.11.2017","0,585","0,521","0,599","0,521","13,59%"
"08.11.2017","0,515","0,481","0,518","0,481","7,07%"
"07.11.2017","0,481","0,536","0,549","0,479","-10,91%"
"06.11.2017","0,540","0,535","0,549","0,527","-0,20%"
"05.11.2017","0,541","0,541","0,541","0,541","-0,73%"
"03.11.2017","0,545","0,550","0,553","0,534","-2,42%"
"02.11.2017","0,558","0,567","0,578","0,558","-0,43%"
"01.11.2017","0,561","0,600","0,604","0,560","-7,82%"
"31.10.2017","0,609","0,609","0,625","0,600","-0,41%"
"30.10.2017","0,611","0,640","0,646","0,599","-7,52%"
"29.10.2017","0,661","0,663","0,663","0,661","-0,96%"
"27.10.2017","0,667","0,661","0,679","0,638","0,23%"
"26.10.2017","0,666","0,730","0,736","0,665","-9,29%"
"25.10.2017","0,734","0,736","0,759","0,730","-1,73%"
"24.10.2017","0,747","0,706","0,752","0,703","6,67%"
"23.10.2017","0,700","0,712","0,714","0,683","-2,95%"
"22.10.2017","0,721","0,724","0,724","0,721","-0,33%"
"21.10.2017","0,724","0,724","0,724","0,724","-0,26%"
"20.10.2017","0,726","0,731","0,737","0,716","0,86%"
"19.10.2017","0,719","0,743","0,747","0,699","-3,29%"
"18.10.2017","0,744","0,712","0,748","0,708","3,55%"
"17.10.2017","0,718","0,750","0,750","0,717","-4,11%"
"16.10.2017","0,749","0,793","0,793","0,748","-4,92%"
"15.10.2017","0,788","0,788","0,788","0,788","-0,30%"
"13.10.2017","0,790","0,798","0,798","0,770","-1,97%"
"12.10.2017","0,806","0,815","0,828","0,798","-3,52%"
"11.10.2017","0,836","0,847","0,859","0,831","-1,60%"
"10.10.2017","0,849","0,844","0,869","0,842","1,29%"
"09.10.2017","0,839","0,838","0,843","0,817","-1,17%"
"08.10.2017","0,848","0,848","0,848","0,848","-0,90%"
"06.10.2017","0,856","0,863","0,884","0,852","0,08%"
"05.10.2017","0,855","0,894","0,902","0,838","-3,55%"
"04.10.2017","0,887","0,862","0,890","0,858","2,89%"
"03.10.2017","0,862","0,856","0,877","0,852","0,28%"
"02.10.2017","0,860","0,854","0,862","0,842","2,74%"
"01.10.2017","0,837","0,837","0,837","0,837","-0,27%"
"30.09.2017","0,839","0,839","0,839","0,839","1,32%"
"29.09.2017","0,828","0,837","0,840","0,809","-1,16%"
"28.09.2017","0,838","0,882","0,884","0,832","-2,18%"
"27.09.2017","0,857","0,841","0,871","0,841","1,32%"
"26.09.2017","0,845","0,848","0,868","0,842","-0,27%"
"25.09.2017","0,848","0,867","0,875","0,837","0,00%"
"24.09.2017","0,848","0,848","0,848","0,848","0,00%"
"22.09.2017","0,847","0,831","0,848","0,825","0,76%"
"21.09.2017","0,841","0,843","0,863","0,832","2,84%"
"20.09.2017","0,818","0,817","0,822","0,797","1,36%"
"19.09.2017","0,807","0,830","0,832","0,790","-2,53%"
"18.09.2017","0,828","0,831","0,836","0,793","-0,45%"
"17.09.2017","0,831","0,831","0,831","0,831","-0,28%"
"16.09.2017","0,834","0,834","0,834","0,834","0,34%"
"15.09.2017","0,831","0,837","0,854","0,829","-0,67%"
"14.09.2017","0,836","0,837","0,848","0,825","1,36%"
"13.09.2017","0,825","0,813","0,839","0,802","1,83%"
"12.09.2017","0,811","0,775","0,817","0,771","5,77%"
"11.09.2017","0,766","0,751","0,777","0,739","1,28%"
"10.09.2017","0,757","0,757","0,757","0,757","-0,30%"
"09.09.2017","0,759","0,759","0,759","0,759","0,50%"
"08.09.2017","0,755","0,723","0,773","0,723","4,24%"
"07.09.2017","0,724","0,822","0,824","0,719","-11,85%"
"06.09.2017","0,822","0,782","0,822","0,775","5,17%"
"05.09.2017","0,781","0,817","0,821","0,774","-3,23%"
"04.09.2017","0,808","0,831","0,832","0,806","-1,78%"
"03.09.2017","0,822","0,822","0,822","0,822","-0,28%"
"02.09.2017","0,824","0,824","0,824","0,824","-1,51%"
"01.09.2017","0,837","0,826","0,854","0,817","-0,27%"
"31.08.2017","0,839","0,868","0,876","0,835","-4,03%"
"30.08.2017","0,874","0,864","0,884","0,864","1,31%"
"29.08.2017","0,863","0,879","0,895","0,860","-2,30%"
"28.08.2017","0,883","0,892","0,904","0,876","-0,92%"
"25.08.2017","0,892","0,884","0,908","0,880","0,25%"
